date,latitude,longitude,source,notes,include
2019-05-07,-1.7100,29.7700,MINEMA 2019 Annual Report p.14,Gakenke sector - fatalities reported - verify exact coordinates,no
2016-03-11,-1.5000,29.6346,AllAfrica - search result candidate,Musanze area - unverified date - check report,no
